timestamp,x_m,y_m,magnitude_h2,laser_distance_cm
2026-05-13T12:36:59.343916,-0.1696,0.3422,0.320730,4.900
2026-05-13T12:36:59.363830,-0.1696,0.3422,0.133863,4.900
2026-05-13T12:36:59.384894,-0.1696,0.3422,0.306625,4.800
2026-05-13T12:36:59.404806,-0.1696,0.3422,0.325264,4.800
2026-05-13T12:36:59.424769,-0.1696,0.3422,0.184158,4.800
2026-05-13T12:36:59.445761,-0.1696,0.3421,0.072853,4.800
2026-05-13T12:36:59.465729,-0.1696,0.3421,0.119734,4.800
2026-05-13T12:36:59.487774,-0.1696,0.3421,0.041283,4.800
2026-05-13T12:36:59.506689,-0.1696,0.3421,0.231048,4.800
2026-05-13T12:36:59.528744,-0.1696,0.3421,0.227133,5.000
2026-05-13T12:36:59.547655,-0.1696,0.3421,0.094466,5.000
2026-05-13T12:36:59.568635,-0.1696,0.3422,0.130406,5.000
2026-05-13T12:36:59.589685,-0.1696,0.3422,0.322627,5.000
2026-05-13T12:36:59.609588,-0.1696,0.3422,0.164759,5.000
2026-05-13T12:36:59.630645,-0.1696,0.3422,0.106557,4.700
2026-05-13T12:36:59.650546,-0.1696,0.3422,0.218416,4.700
2026-05-13T12:36:59.670525,-0.1696,0.3422,0.346565,4.700
2026-05-13T12:36:59.692572,-0.1696,0.3422,0.334358,5.000
2026-05-13T12:36:59.711494,-0.1696,0.3421,0.147954,5.000
2026-05-13T12:36:59.733539,-0.1696,0.3421,0.130695,4.700
2026-05-13T12:36:59.752476,-0.1696,0.3421,0.301296,4.700
2026-05-13T12:36:59.774500,-0.1696,0.3421,0.287460,4.900
2026-05-13T12:36:59.793414,-0.1696,0.3421,0.169394,4.900
2026-05-13T12:36:59.814385,-0.1696,0.3421,0.195988,4.900
2026-05-13T12:36:59.835427,-0.1696,0.3421,0.313687,4.700
2026-05-13T12:36:59.855352,-0.1696,0.3421,0.313997,4.700
2026-05-13T12:36:59.876387,-0.1696,0.3421,0.270160,4.800
2026-05-13T12:36:59.896299,-0.1696,0.3421,0.131718,4.800
2026-05-13T12:36:59.916307,-0.1696,0.3421,0.227106,4.800
2026-05-13T12:36:59.938366,-0.1696,0.3421,0.262707,5.000
2026-05-13T12:36:59.957322,-0.1696,0.3422,0.206729,5.000
2026-05-13T12:36:59.979288,-0.1696,0.3422,0.167007,4.900
2026-05-13T12:36:59.998201,-0.1696,0.3422,0.201261,4.900
2026-05-13T12:37:00.019188,-0.1696,0.3422,0.229236,4.900
2026-05-13T12:37:00.039154,-0.1696,0.3422,0.064584,4.800
2026-05-13T12:37:00.060137,-0.1696,0.3422,0.058368,4.800
2026-05-13T12:37:00.081220,-0.1696,0.3422,0.102130,4.900
2026-05-13T12:37:00.101104,-0.1696,0.3421,0.134084,4.900
2026-05-13T12:37:00.122148,-0.1696,0.3421,0.227570,4.700
2026-05-13T12:37:00.142067,-0.1696,0.3421,0.266830,4.700
2026-05-13T12:37:00.162039,-0.1696,0.3421,0.314429,4.700
2026-05-13T12:37:00.184095,-0.1696,0.3421,0.245611,4.900
2026-05-13T12:37:00.202993,-0.1696,0.3421,0.252637,4.900
2026-05-13T12:37:00.225039,-0.1696,0.3421,0.147708,4.800
2026-05-13T12:37:00.243960,-0.1696,0.3421,0.060127,4.800
2026-05-13T12:37:00.264929,-0.1696,0.3421,0.142710,4.800
2026-05-13T12:37:00.285300,-0.1696,0.3421,0.349999,4.900
2026-05-13T12:37:00.305893,-0.1696,0.3421,0.407391,4.900
2026-05-13T12:37:00.326937,-0.1696,0.3421,0.392669,4.700
2026-05-13T12:37:00.346885,-0.1696,0.3421,0.341237,4.700
